exp,rlr_agents,drowsy_agents,d_num_rnds,d_com_cost,d_inf_time,r_num_rnds,r_com_cost,r_inf_time,r_n_dets
0-1,1,0,,,,426.5,3340.169236,2.608947515487671,1.0
1-0,0,1,0.410828025477707,5.270797910828025,0.017349509676550603,,,,
0-2,2,0,,,,426.5,3340.169236,2.6282380521297455,1.0
1-1,1,1,0.410828025477707,5.270797910828025,0.017204211016369472,426.5,3340.169236,2.3475404381752014,1.0
2-0,0,2,0.410828025477707,5.270797910828025,0.019127333619791992,,,,
0-3,3,0,,,,426.5,3340.169236,2.848557968934377,1.0
1-2,2,1,0.410828025477707,5.270797910828025,0.01711830819488331,426.5,3340.169236,2.536461263895035,1.0
2-1,1,2,0.410828025477707,5.270797910828025,0.018812511756921273,426.5,3340.169236,2.4719361066818237,1.0
3-0,0,3,0.410828025477707,5.270797910828025,0.025793834350164784,,,,
0-5,5,0,,,,426.5,3340.169236,3.0680307269096376,1.0
1-4,4,1,0.410828025477707,5.270797910828025,0.01724278699060914,426.5,3340.169236,2.9760547131299973,1.0
3-2,2,3,0.410828025477707,5.270797910828025,0.025678563016741648,426.5,3340.169236,2.752461463212967,1.0
5-0,0,5,0.410828025477707,5.270797910828025,0.03561935698150829,,,,
0-8,8,0,,,,426.5,3340.169236,3.132063403725624,1.0
2-6,6,2,0.410828025477707,5.270797910828025,0.021970735613707524,426.5,3340.169236,3.1039990186691284,1.0
4-4,4,4,0.410828025477707,5.270797910828025,0.03107323900909181,426.5,3340.169236,3.2029844373464584,1.0
6-2,2,6,0.410828025477707,5.270797910828025,0.04330912377930498,426.5,3s340.169236,3.3543797731399536,1.0
8-0,0,8,0.410828025477707,5.270797910828025,0.05283065984962852,,,,
0-12,12,0,,,,426.5,3340.1692360000006,3.2598174129213606,1.0
3-9,9,3,0.410828025477707,5.270797910828025,0.025583689632942216,426.5,3340.169236,3.2982812921206155,1.0
6-6,6,6,0.410828025477707,5.270797910828025,0.042292680836533786,426.5,3340.169236,3.3592252135276794,1.0
9-3,3,9,0.410828025477707,5.270797910828025,0.060663553391123864,426.5,3340.169236,3.7402471701304116,1.0
12-0,0,12,0.410828025477707,5.2707979108280245,0.07654322693302372,,,,
0-15,15,0,,,,426.5,3340.169236,3.4179349303245545,1.0
3-12,12,3,0.410828025477707,5.270797910828025,0.025698586887108545,426.5,3340.169236,3.175929387410482,1.0
7-8,8,7,0.410828025477707,5.270797910828025,0.05084666227404914,426.5,3340.169236,3.300206705927849,1.0
11-4,4,11,0.41082802547770697,5.2707979108280245,0.07306371725012818,426.5,3340.169236,3.5379815697669983,1.0
15-0,0,15,0.41082802547770714,5.2707979108280245,0.09145574498834629,,,,
2-3,3,2,0.410828025477707,5.270797910828025,0.020182597029740644,426.5,3340.169236,2.815938353538513,1.0
8-7,7,8,0.410828025477707,5.270797910828025,0.05316006378003746,426.5,3340.1692360000006,3.461161434650421,1.0
3-2,2,3,0.410828025477707,5.270797910828025,0.02591228282628798,426.5,3340.169236,2.6862617135047913,1.0